Name,Id,StatusCode
ACQUAMELA,S09798,NoContent
AGOGNATE,S00075,NoContent
AIELLI,S08550,NoContent
ALBAIRATE VERMEZZO,S01059,NoContent
ALBERGO,S06067,NoContent
ALIFE,S09020,NoContent
ALVIGNNO,S09023,NoContent
ANCONA STADIO,S07114,NoContent
ANDORA,S04525,NoContent
ANFITEATRO,S09031,NoContent
ANNA',S11870,NoContent
ANZOLA,S05386,NoContent
ARCHI,S07992,NoContent
ARECHI,S09839,NoContent
AREZZO C.C.,S06086,NoContent
AREZZO PESCAIOLA,S06063,NoContent
AROSIO,S01092,NoContent
ARPAIA-AIROLA-S. AGATA DEI GOTI,S09017,NoContent
ASSEMINI CARMINE,S12809,NoContent
ASSEMINI S. LUCIA,S12808,NoContent
ATELETA,S07998,NoContent
BA POLICLINICO,S11499,NoContent
BACIANO,S06081,NoContent
BADEN,S03118,NoContent
BAGGIOVARA OSPEDALE,S05186,NoContent
BAGNOLO IN PIANO,S05946,NoContent
BALANGERO,S00094,NoContent
BALATONFOELDVAR,S03418,NoContent
BALATONLELLE,S03459,NoContent
BALATONSZENTGYORGY,S03566,NoContent
BARBERINO VAL D`ELSA,S06806,NoContent
BARCO,S05929,NoContent
BARI PARCO NORD FASCIO TARANTO,S11149,NoContent
BARI TORRE QUETTA,S11004,NoContent
BARI VILLAGGIO DEL LAVORATORE,S11003,NoContent
BARI ZONA INDUSTRIALE,S11120,NoContent
BARLASSINA,S01926,NoContent
BARRUCCANA,S01929,NoContent
BAZZANO,S05975,NoContent
BELLINZONA,S00300,NoContent
BENEVENTO ACQUAFREDDA,S09472,NoContent
BENEVENTO APPIA,S09011,NoContent
BENEVENTO RIONE LIBERTA',S09012,NoContent
BIBBIANO,S05927,NoContent
BIBBIANO VIA MONTI,S05926,NoContent
BIBBIENA,S06076,NoContent
BIBBIENA CORSALONE,S06077,NoContent
BOLLATE CENTRO,S01071,NoContent
BOLLATE NORD,S01072,NoContent
BOLOGNA RIMESSE,S05989,NoContent
BOLOGNA SAN VITALE,S05081,NoContent
BOLOGNA VIA LARGA,S05991,NoContent
BOMBA TORRICELLA,S07993,NoContent
BONDENO,S05165,NoContent
BORETTO,S05963,NoContent
BORGARO,S00086,NoContent
BORGOCHIESANUOVA,S02021,NoContent
BORGONUOVO,S05152,NoContent
BOSCONERO,S00882,NoContent
BOTTENICCHIO Z.I.,S03057,NoContent
BOVISO MASCIAGO - MOMBELLO,S01085,NoContent
BRUNICO NORD,S02018,NoContent
BS EST PIAZ. SUD,S01813,NoContent
BUDRIO,S05017,NoContent
BUDRIO CENTRO,S05996,NoContent
BUSA DI VIGONZA,S02595,NoContent
BUSTO ARSIZIO N.,S01137,NoContent
Bazzano (AQ),S07436,NoContent
Biv. Venezia,S05048,NoContent
CABIATE,S01088,NoContent
CAIAZZO,S09025,NoContent
CALBEZANO,S06080,NoContent
CALLIANO,S02041,NoContent
CAMERANO ASPIO,S07021,NoContent
CAMPORE,S00889,NoContent
CANCELLI DI FABRIANO,S07232,NoContent
CANISTRO,S08812,NoContent
CANZO,S01099,NoContent
CAPOCROCE,S08804,NoContent
CAPOLONA,S06083,NoContent
CARBONIA STATO,S12972,NoContent
CARONNO PERTUSELLA,S01076,NoContent
CARUGO - GIUSSANO,S01091,NoContent
CASALECCHIO PALASPORT,S05968,NoContent
CASALETTO,S09922,NoContent
CASALGRANDE,S05982,NoContent
CASANOVA KAISERAU,S02059,NoContent
CASELLE,S00087,NoContent
CASELLE AEROPORTO,S00088,NoContent
CASINALBO,S05184,NoContent
CASLINO D'ERBA,S01098,NoContent
CASOLI,S07991,NoContent
CASTEL FRENTANO,S07987,NoContent
CASTELFRANCO IN MISCANO,S09323,NoContent
CASTELLANETA,S11507,NoContent
CASTELLANZA,S01136,NoContent
CASTELLUCCIO,S09920,NoContent
CASTENASO,S05995,NoContent
CASTENASO STELLINA,S05994,NoContent
CATANIA AER. FONTANAROSSA,S12336,NoContent
CATANIA EUROPA,S12335,NoContent
CATANIA OGNINA,S12333,NoContent
CAVRIAGO,S05932,NoContent
CAVRIAGO S.NICOLO',S05931,NoContent
CERBERE,S78500,NoContent
CERLANO LAGHETTO,S01934,NoContent
CERVINARA,S09015,NoContent
CESANO BOSCONE,S01112,NoContent
CESANO MADERNO,S01086,NoContent
CESATE,S01075,NoContent
CHIETI-MAD.D.P.,S07025,NoContent
CHIOZZA,S05983,NoContent
CIANO D'ENZA,S05921,NoContent
CIANO VIA TEDALDO DA CANOSSA,S05922,NoContent
CIRE',S00090,NoContent
CIVIDALE,S03056,NoContent
CIVITELLA - BADIA AL PINO,S06066,NoContent
CODEMONDO,S05933,NoContent
CODIGORO,S05799,NoContent
CODISOTTO,S05957,NoContent
COLFELICE,S08820,NoContent
COLLARMELE,S08548,NoContent
COLLEDIMEZZO,S07994,NoContent
COLLI DEL TRONTO,S07024,NoContent
COLMEGNA,S01111,NoContent
COLONNA GALLERIA,S08653,NoContent
COMPRE S.VINCENZO,S08816,NoContent
CONA F. C.,S05169,NoContent
CONSANDOLO,S05999,NoContent
CONSELICE ZONA INDUSTRIALE,S05004,NoContent
CONZA ANDRETTA CAIRANO,S09618,NoContent
CORMANO - BRUSUGLIO,S01080,NoContent
CORNIANO,S05925,NoContent
CORONELLA,S05719,NoContent
COURGNE',S00888,NoContent
CRESPELLANO,S05973,NoContent
CRESPINO DEL LAMONE,S06607,NoContent
CROCETTA,S07988,NoContent
CURINGA,S11972,NoContent
Cesano M(NS),S01798,NoContent
DARFO-CORNA,S01006,NoContent
DEV. INT. LL/DD CITTA' DELLA PIEVE,S06097,NoContent
DIANO,S04524,NoContent
DINAZZANO,S05981,NoContent
DIVACA,S44200,NoContent
DOGATO,S05174,NoContent
DOLE VILLE,S71341,NoContent
DRAGONI,S09021,NoContent
DUGO SELO,S72517,NoContent
DUOMO VIA VERNIERI,S09819,NoContent
ELMAS AEROPORTO,S12819,NoContent
ENZITETO/CATINO,S11041,NoContent
ERBA,S01096,NoContent
